,Crime Type,Loss Amount
0,Advanced Fee,"$125,994"
1,Malware,$0
2,BEC,"$3,610,306"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$460,024"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$196,048"
9,Non-payment/Non-Delivery,"$2,002,916"
10,Crimes Against Children,$72
11,Other,"$2,065,415"
12,Data Breach,"$20,751"
13,Overpayment,"$5,564"
14,Employment,"$32,128"
15,Personal Data Breach,"$32,428,931"
16,Extortion,"$56,214"
17,Phishing,"$209,527"
18,Government Impersonation,"$393,899"
19,Ransomware,$0
20,Harassment/Stalking,$955
21,Real Estate,"$294,017"
22,IPR/Copyright and Counterfeit,$21
23,SIM Swap,"$1,083,000"
24,Identity Theft,"$119,797"
25,Spoofing,"$31,867"
26,Investment,"$3,846,768"
27,Tech Support,"$830,686"
28,Lottery/Sweepstakes/Inheritance,$714
29,Threats of Violence,"$1,500"
