,Crime Type,Loss Amount
0,Advanced Fee,"$1,117,909"
1,Malware,$0
2,BEC,"$2,736,621"
3,NCDF,"$10,500"
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$3,898,305"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$297,768"
9,Non-payment/Non-Delivery,"$1,026,796"
10,Crimes Against Children,$90
11,Other,"$1,855,463"
12,Data Breach,"$1,423"
13,Overpayment,"$69,050"
14,Employment,"$46,948"
15,Personal Data Breach,"$785,640"
16,Extortion,"$320,115"
17,Phishing,"$22,549"
18,Government Impersonation,"$281,400"
19,Ransomware,$0
20,Harassment/Stalking,"$1,000"
21,Real Estate,"$2,191,145"
22,IPR/Copyright and Counterfeit,$0
23,SIM Swap,"$1,500"
24,Identity Theft,"$259,471"
25,Spoofing,"$47,495"
26,Investment,"$2,379,391"
27,Tech Support,"$2,080,411"
28,Lottery/Sweepstakes/Inheritance,"$1,307,324"
29,Threats of Violence,$0
