,Crime Type,Loss Amount
0,Advanced Fee,"$2,227,299"
1,Malware,"$77,681"
2,BEC,"$46,858,072"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$8,273,808"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$2,058,167"
9,Non-payment/Non-Delivery,"$2,004,147"
10,Crimes Against Children,"$2,290"
11,Other,"$2,946,661"
12,Data Breach,"$1,104,618"
13,Overpayment,"$450,581"
14,Employment,"$1,114,284"
15,Personal Data Breach,"$2,297,694"
16,Extortion,"$275,304"
17,Phishing,"$70,343"
18,Government Impersonation,"$3,929,346"
19,Ransomware,"$6,500"
20,Harassment/Stalking,"$4,115"
21,Real Estate,"$12,493,785"
22,IPR/Copyright and Counterfeit,"$8,416"
23,SIM Swap,"$981,655"
24,Identity Theft,"$2,030,612"
25,Spoofing,"$765,976"
26,Investment,"$13,535,519"
27,Tech Support,"$8,524,525"
28,Lottery/Sweepstakes/Inheritance,"$1,821,530"
29,Threats of Violence,"$8,000"
