,Crime Type,Subject Count
0,Advanced Fee,5
1,Malware,0
2,BEC,16
3,NCDF,0
4,Botnet,1
5,NTOC,0
6,Confidence/Romance,7
7,No Lead Value,50
8,Credit Card/Check Fraud,13
9,Non-payment/Non-Delivery,59
10,Crimes Against Children,1
11,Other,2
12,Data Breach,2
13,Overpayment,2
14,Employment,12
15,Personal Data Breach,35
16,Extortion,6
17,Phishing,3
18,Government Impersonation,4
19,Ransomware,0
20,Harassment/Stalking,6
21,Real Estate,4
22,IPR/Copyright and Counterfeit,0
23,SIM Swap,1
24,Identity Theft,17
25,Spoofing,7
26,Investment,7
27,Tech Support,18
28,Lottery/Sweepstakes/Inheritance,7
29,Threats of Violence,1
