,Crime Type,Loss Amount
0,Advanced Fee,"$34,820"
1,Malware,$0
2,BEC,"$370,258"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$260,237"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$118,286"
9,Non-payment/Non-Delivery,"$669,744"
10,Crimes Against Children,$0
11,Other,"$25,000"
12,Data Breach,$0
13,Overpayment,"$10,145"
14,Employment,"$25,453"
15,Personal Data Breach,"$3,495,026"
16,Extortion,"$1,700"
17,Phishing,$0
18,Government Impersonation,"$16,500"
19,Ransomware,$0
20,Harassment/Stalking,$50
21,Real Estate,"$2,350"
22,IPR/Copyright and Counterfeit,$0
23,SIM Swap,"$45,450"
24,Identity Theft,"$14,213"
25,Spoofing,"$100,000"
26,Investment,"$33,729"
27,Tech Support,"$96,173"
28,Lottery/Sweepstakes/Inheritance,"$141,172"
29,Threats of Violence,$0
