,Crime Type,Loss Amount
0,Advanced Fee,"$223,330"
1,Malware,"$100,000"
2,BEC,"$2,532,512"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$726,312"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$360,807"
9,Non-payment/Non-Delivery,"$585,114"
10,Crimes Against Children,$0
11,Other,"$10,095"
12,Data Breach,"$36,310,400"
13,Overpayment,"$12,075"
14,Employment,"$38,883"
15,Personal Data Breach,"$401,836"
16,Extortion,"$64,556"
17,Phishing,"$48,166"
18,Government Impersonation,"$60,815"
19,Ransomware,$0
20,Harassment/Stalking,$50
21,Real Estate,"$409,489"
22,IPR/Copyright and Counterfeit,"$14,234"
23,SIM Swap,"$81,657"
24,Identity Theft,"$132,132"
25,Spoofing,"$13,649"
26,Investment,"$3,852,649"
27,Tech Support,"$2,653,224"
28,Lottery/Sweepstakes/Inheritance,"$157,022"
29,Threats of Violence,$0
