,Crime Type,Loss Amount
0,Advanced Fee,"$1,129,309"
1,Malware,$0
2,BEC,"$8,204,329"
3,NCDF,$0
4,Botnet,$439
5,NTOC,$0
6,Confidence/Romance,"$4,323,401"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$1,537,536"
9,Non-payment/Non-Delivery,"$2,183,461"
10,Crimes Against Children,$566
11,Other,"$1,131,997"
12,Data Breach,"$497,487"
13,Overpayment,"$577,476"
14,Employment,"$84,959"
15,Personal Data Breach,"$935,734"
16,Extortion,"$131,245"
17,Phishing,"$109,027"
18,Government Impersonation,"$665,515"
19,Ransomware,$0
20,Harassment/Stalking,$500
21,Real Estate,"$2,917,722"
22,IPR/Copyright and Counterfeit,"$74,831"
23,SIM Swap,$180
24,Identity Theft,"$657,767"
25,Spoofing,"$37,720"
26,Investment,"$3,607,694"
27,Tech Support,"$2,028,988"
28,Lottery/Sweepstakes/Inheritance,"$840,629"
29,Threats of Violence,$0
