,Crime Type,Loss Amount
0,Advanced Fee,"$3,585,887"
1,Malware,"$1,452"
2,BEC,"$36,273,834"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$34,914,417"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$8,092,116"
9,Non-payment/Non-Delivery,"$11,846,398"
10,Crimes Against Children,"$10,215"
11,Other,"$12,339,575"
12,Data Breach,"$1,167,383"
13,Overpayment,"$2,085,058"
14,Employment,"$2,275,946"
15,Personal Data Breach,"$6,213,639"
16,Extortion,"$1,071,145"
17,Phishing,"$400,587"
18,Government Impersonation,"$3,938,036"
19,Ransomware,"$31,300"
20,Harassment/Stalking,"$243,646"
21,Real Estate,"$11,108,125"
22,IPR/Copyright and Counterfeit,"$53,151"
23,SIM Swap,"$830,515"
24,Identity Theft,"$4,489,037"
25,Spoofing,"$1,227,925"
26,Investment,"$44,556,989"
27,Tech Support,"$13,280,635"
28,Lottery/Sweepstakes/Inheritance,"$1,383,253"
29,Threats of Violence,"$51,700"
