,Crime Type,Victim Count
0,Advanced Fee,815
1,Malware,51
2,BEC,"1,898"
3,NCDF,0
4,Botnet,37
5,NTOC,0
6,Confidence/Romance,"1,331"
7,No Lead Value,"9,111"
8,Credit Card/Check Fraud,"1,658"
9,Non-payment/Non-Delivery,"4,049"
10,Crimes Against Children,194
11,Other,608
12,Data Breach,220
13,Overpayment,456
14,Employment,"1,447"
15,Personal Data Breach,"4,583"
16,Extortion,"3,002"
17,Phishing,"1,053"
18,Government Impersonation,854
19,Ransomware,237
20,Harassment/Stalking,917
21,Real Estate,"1,071"
22,IPR/Copyright and Counterfeit,103
23,SIM Swap,169
24,Identity Theft,"1,584"
25,Spoofing,"1,542"
26,Investment,"1,944"
27,Tech Support,"2,215"
28,Lottery/Sweepstakes/Inheritance,332
29,Threats of Violence,164
