,Crime Type,Loss Amount
0,Advanced Fee,"$8,342,200"
1,Malware,"$82,858"
2,BEC,"$260,206,398"
3,NCDF,$0
4,Botnet,"$20,626"
5,NTOC,$0
6,Confidence/Romance,"$60,345,530"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$16,327,283"
9,Non-payment/Non-Delivery,"$18,536,234"
10,Crimes Against Children,"$17,512"
11,Other,"$7,976,872"
12,Data Breach,"$13,186,381"
13,Overpayment,"$2,595,792"
14,Employment,"$3,947,719"
15,Personal Data Breach,"$46,628,318"
16,Extortion,"$2,475,291"
17,Phishing,"$1,136,376"
18,Government Impersonation,"$11,487,168"
19,Ransomware,"$1,702,336"
20,Harassment/Stalking,"$298,888"
21,Real Estate,"$31,080,667"
22,IPR/Copyright and Counterfeit,"$99,491"
23,SIM Swap,"$4,310,842"
24,Identity Theft,"$14,150,323"
25,Spoofing,"$4,604,597"
26,Investment,"$235,128,489"
27,Tech Support,"$56,764,205"
28,Lottery/Sweepstakes/Inheritance,"$6,523,316"
29,Threats of Violence,"$18,300"
