,Crime Type,Subject Count
0,Advanced Fee,0
1,Malware,0
2,BEC,1
3,NCDF,0
4,Botnet,0
5,NTOC,0
6,Confidence/Romance,3
7,No Lead Value,1
8,Credit Card/Check Fraud,2
9,Non-payment/Non-Delivery,2
10,Crimes Against Children,0
11,Other,1
12,Data Breach,0
13,Overpayment,0
14,Employment,0
15,Personal Data Breach,1
16,Extortion,3
17,Phishing,1
18,Government Impersonation,4
19,Ransomware,0
20,Harassment/Stalking,1
21,Real Estate,0
22,IPR/Copyright and Counterfeit,0
23,SIM Swap,0
24,Identity Theft,1
25,Spoofing,2
26,Investment,3
27,Tech Support,5
28,Lottery/Sweepstakes/Inheritance,1
29,Threats of Violence,0
