,Crime Type,Victim Count
0,Advanced Fee,8
1,Malware,1
2,BEC,2
3,NCDF,0
4,Botnet,0
5,NTOC,0
6,Confidence/Romance,4
7,No Lead Value,44
8,Credit Card/Check Fraud,2
9,Non-payment/Non-Delivery,10
10,Crimes Against Children,1
11,Other,10
12,Data Breach,1
13,Overpayment,0
14,Employment,2
15,Personal Data Breach,16
16,Extortion,5
17,Phishing,6
18,Government Impersonation,2
19,Ransomware,1
20,Harassment/Stalking,5
21,Real Estate,2
22,IPR/Copyright and Counterfeit,1
23,SIM Swap,1
24,Identity Theft,4
25,Spoofing,5
26,Investment,1
27,Tech Support,6
28,Lottery/Sweepstakes/Inheritance,3
29,Threats of Violence,0
