,Crime Type,Loss Amount
0,Advanced Fee,"$2,638,097"
1,Malware,$0
2,BEC,"$2,664,357"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$1,182,029"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$868,680"
9,Non-payment/Non-Delivery,"$1,370,101"
10,Crimes Against Children,$650
11,Other,"$554,272"
12,Data Breach,"$31,637"
13,Overpayment,"$96,411"
14,Employment,"$414,004"
15,Personal Data Breach,"$188,778"
16,Extortion,"$103,123"
17,Phishing,"$27,453"
18,Government Impersonation,"$12,465"
19,Ransomware,$0
20,Harassment/Stalking,"$27,336"
21,Real Estate,"$2,890,080"
22,IPR/Copyright and Counterfeit,$175
23,SIM Swap,$0
24,Identity Theft,"$496,950"
25,Spoofing,"$51,099"
26,Investment,"$5,369,855"
27,Tech Support,"$941,377"
28,Lottery/Sweepstakes/Inheritance,"$5,311"
29,Threats of Violence,$0
