,Crime Type,Loss Amount
0,Advanced Fee,"$1,069,605"
1,Malware,"$3,000"
2,BEC,"$26,231,307"
3,NCDF,$0
4,Botnet,"$7,456,604"
5,NTOC,$0
6,Confidence/Romance,"$3,620,299"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$2,292,242"
9,Non-payment/Non-Delivery,"$2,829,294"
10,Crimes Against Children,"$1,520"
11,Other,"$1,115,798"
12,Data Breach,"$8,144,199"
13,Overpayment,"$183,642"
14,Employment,"$654,186"
15,Personal Data Breach,"$8,211,212"
16,Extortion,"$378,007"
17,Phishing,"$959,926"
18,Government Impersonation,"$561,508"
19,Ransomware,"$8,000"
20,Harassment/Stalking,"$78,748"
21,Real Estate,"$4,340,377"
22,IPR/Copyright and Counterfeit,"$91,912"
23,SIM Swap,"$300,204"
24,Identity Theft,"$2,105,042"
25,Spoofing,"$572,473"
26,Investment,"$31,131,583"
27,Tech Support,"$9,409,166"
28,Lottery/Sweepstakes/Inheritance,"$1,282,474"
29,Threats of Violence,"$9,851"
