,Crime Type,Loss Amount
0,Advanced Fee,"$15,354"
1,Malware,$0
2,BEC,"$3,001,651"
3,NCDF,$0
4,Botnet,$583
5,NTOC,$0
6,Confidence/Romance,"$121,457"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$141,622"
9,Non-payment/Non-Delivery,"$442,884"
10,Crimes Against Children,$0
11,Other,$0
12,Data Breach,$0
13,Overpayment,"$4,357"
14,Employment,"$21,585"
15,Personal Data Breach,"$45,336"
16,Extortion,$625
17,Phishing,$0
18,Government Impersonation,$50
19,Ransomware,$0
20,Harassment/Stalking,"$2,500"
21,Real Estate,"$470,766"
22,IPR/Copyright and Counterfeit,$0
23,SIM Swap,$0
24,Identity Theft,$665
25,Spoofing,"$1,449"
26,Investment,"$81,925"
27,Tech Support,"$289,508"
28,Lottery/Sweepstakes/Inheritance,$0
29,Threats of Violence,$0
