,Crime Type,Loss Amount
0,Advanced Fee,"$64,278"
1,Malware,"$2,000"
2,BEC,"$6,755,695"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$373,468"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$189,377"
9,Non-payment/Non-Delivery,"$398,201"
10,Crimes Against Children,$0
11,Other,"$25,436"
12,Data Breach,"$169,468"
13,Overpayment,"$113,450"
14,Employment,"$80,227"
15,Personal Data Breach,"$150,771"
16,Extortion,"$88,644"
17,Phishing,"$37,300"
18,Government Impersonation,"$1,335,418"
19,Ransomware,$0
20,Harassment/Stalking,$89
21,Real Estate,"$1,543,094"
22,IPR/Copyright and Counterfeit,$0
23,SIM Swap,"$1,015"
24,Identity Theft,"$1,986,138"
25,Spoofing,"$163,383"
26,Investment,"$1,030,772"
27,Tech Support,"$2,697,693"
28,Lottery/Sweepstakes/Inheritance,"$261,760"
29,Threats of Violence,$0
