,Crime Type,Loss Amount
0,Advanced Fee,"$3,366,653"
1,Malware,$0
2,BEC,"$8,899,175"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$8,636,879"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$1,532,400"
9,Non-payment/Non-Delivery,"$3,438,833"
10,Crimes Against Children,$0
11,Other,"$1,200,711"
12,Data Breach,"$1,125,030"
13,Overpayment,"$339,926"
14,Employment,"$636,324"
15,Personal Data Breach,"$1,417,121"
16,Extortion,"$131,756"
17,Phishing,"$139,485"
18,Government Impersonation,"$702,059"
19,Ransomware,$0
20,Harassment/Stalking,$0
21,Real Estate,"$2,597,575"
22,IPR/Copyright and Counterfeit,"$15,685"
23,SIM Swap,"$24,747"
24,Identity Theft,"$690,869"
25,Spoofing,"$297,342"
26,Investment,"$14,180,864"
27,Tech Support,"$3,184,157"
28,Lottery/Sweepstakes/Inheritance,"$897,681"
29,Threats of Violence,$1
