,Crime Type,Loss Amount
0,Advanced Fee,"$2,717,841"
1,Malware,"$2,099"
2,BEC,"$56,360,110"
3,NCDF,$0
4,Botnet,$50
5,NTOC,$0
6,Confidence/Romance,"$24,805,724"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$4,963,146"
9,Non-payment/Non-Delivery,"$4,458,570"
10,Crimes Against Children,"$2,949"
11,Other,"$2,854,919"
12,Data Breach,"$3,648,049"
13,Overpayment,"$1,005,954"
14,Employment,"$1,814,679"
15,Personal Data Breach,"$12,915,064"
16,Extortion,"$924,768"
17,Phishing,"$431,705"
18,Government Impersonation,"$2,489,152"
19,Ransomware,"$431,968"
20,Harassment/Stalking,"$27,856"
21,Real Estate,"$12,034,110"
22,IPR/Copyright and Counterfeit,"$54,110"
23,SIM Swap,"$1,217,974"
24,Identity Theft,"$4,908,151"
25,Spoofing,"$1,984,229"
26,Investment,"$54,774,505"
27,Tech Support,"$25,514,747"
28,Lottery/Sweepstakes/Inheritance,"$2,605,222"
29,Threats of Violence,$2
