,Crime Type,Loss Amount
0,Advanced Fee,"$1,593,315"
1,Malware,$0
2,BEC,"$8,683,767"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$7,335,503"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$1,181,550"
9,Non-payment/Non-Delivery,"$3,909,696"
10,Crimes Against Children,$300
11,Other,"$2,446,635"
12,Data Breach,"$369,566"
13,Overpayment,"$272,809"
14,Employment,"$465,566"
15,Personal Data Breach,"$3,642,809"
16,Extortion,"$291,611"
17,Phishing,"$84,452"
18,Government Impersonation,"$2,002,165"
19,Ransomware,$0
20,Harassment/Stalking,"$28,849"
21,Real Estate,"$2,171,548"
22,IPR/Copyright and Counterfeit,"$172,697"
23,SIM Swap,"$126,000"
24,Identity Theft,"$1,880,499"
25,Spoofing,"$329,259"
26,Investment,"$40,007,056"
27,Tech Support,"$29,285,559"
28,Lottery/Sweepstakes/Inheritance,"$1,351,542"
29,Threats of Violence,$0
