,Crime Type,Loss Amount
0,Advanced Fee,"$2,591,151"
1,Malware,"$90,700"
2,BEC,"$43,920,897"
3,NCDF,$0
4,Botnet,$100
5,NTOC,$0
6,Confidence/Romance,"$21,112,201"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$5,370,345"
9,Non-payment/Non-Delivery,"$6,168,498"
10,Crimes Against Children,"$3,191"
11,Other,"$2,322,135"
12,Data Breach,"$4,034,309"
13,Overpayment,"$440,972"
14,Employment,"$551,877"
15,Personal Data Breach,"$9,513,808"
16,Extortion,"$2,402,956"
17,Phishing,"$833,521"
18,Government Impersonation,"$5,662,610"
19,Ransomware,"$1,759,480"
20,Harassment/Stalking,"$40,988"
21,Real Estate,"$7,394,609"
22,IPR/Copyright and Counterfeit,"$29,423"
23,SIM Swap,"$5,113,499"
24,Identity Theft,"$3,285,012"
25,Spoofing,"$1,112,945"
26,Investment,"$97,504,830"
27,Tech Support,"$29,774,952"
28,Lottery/Sweepstakes/Inheritance,"$2,223,540"
29,Threats of Violence,"$12,030"
