,Crime Type,Loss Amount
0,Advanced Fee,"$21,775"
1,Malware,$0
2,BEC,"$752,255"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$1,558,511"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$101,168"
9,Non-payment/Non-Delivery,"$736,383"
10,Crimes Against Children,$0
11,Other,"$25,618"
12,Data Breach,$0
13,Overpayment,"$8,925"
14,Employment,"$79,341"
15,Personal Data Breach,"$230,687"
16,Extortion,"$1,350"
17,Phishing,"$1,111"
18,Government Impersonation,"$21,000"
19,Ransomware,$0
20,Harassment/Stalking,$542
21,Real Estate,"$9,036"
22,IPR/Copyright and Counterfeit,"$1,050"
23,SIM Swap,$0
24,Identity Theft,"$88,620"
25,Spoofing,"$87,514"
26,Investment,"$60,000"
27,Tech Support,"$336,292"
28,Lottery/Sweepstakes/Inheritance,"$326,100"
29,Threats of Violence,$0
