,Crime Type,Loss Amount
0,Advanced Fee,"$108,762"
1,Malware,$0
2,BEC,"$4,268,151"
3,NCDF,$0
4,Botnet,$0
5,NTOC,$0
6,Confidence/Romance,"$3,430,819"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$414,792"
9,Non-payment/Non-Delivery,"$800,883"
10,Crimes Against Children,$500
11,Other,"$614,028"
12,Data Breach,"$902,952"
13,Overpayment,"$106,696"
14,Employment,"$145,141"
15,Personal Data Breach,"$996,654"
16,Extortion,"$109,881"
17,Phishing,"$112,367"
18,Government Impersonation,"$138,854"
19,Ransomware,"$2,500,000"
20,Harassment/Stalking,"$3,988"
21,Real Estate,"$1,462,017"
22,IPR/Copyright and Counterfeit,$26
23,SIM Swap,"$607,084"
24,Identity Theft,"$791,045"
25,Spoofing,"$93,225"
26,Investment,"$1,707,506"
27,Tech Support,"$1,038,050"
28,Lottery/Sweepstakes/Inheritance,"$243,692"
29,Threats of Violence,$0
