,Crime Type,Loss Amount
0,Advanced Fee,"$567,425"
1,Malware,$0
2,BEC,"$47,023,205"
3,NCDF,$0
4,Botnet,"$1,198"
5,NTOC,$0
6,Confidence/Romance,"$15,193,267"
7,No Lead Value,$0
8,Credit Card/Check Fraud,"$4,010,457"
9,Non-payment/Non-Delivery,"$2,865,828"
10,Crimes Against Children,"$2,363"
11,Other,"$979,921"
12,Data Breach,"$776,399"
13,Overpayment,"$134,182"
14,Employment,"$99,240"
15,Personal Data Breach,"$2,889,628"
16,Extortion,"$590,750"
17,Phishing,"$494,753"
18,Government Impersonation,"$751,875"
19,Ransomware,"$286,200"
20,Harassment/Stalking,"$3,164"
21,Real Estate,"$2,943,084"
22,IPR/Copyright and Counterfeit,"$17,163"
23,SIM Swap,"$304,498"
24,Identity Theft,"$809,514"
25,Spoofing,"$772,577"
26,Investment,"$24,490,234"
27,Tech Support,"$7,219,758"
28,Lottery/Sweepstakes/Inheritance,"$1,621,102"
29,Threats of Violence,"$1,702,000"
