year,country,state,crime,victimcount,lossamount,population
2021,United States,Alabama,Phishing,200,244668,5049846.00
2021,United States,Alaska,Phishing,170,20580,734182.00
2021,United States,Arizona,Phishing,476,807443,7264877.00
2021,United States,Arkansas,Phishing,150,113931,3028122.00
2021,United States,California,Phishing,"2,942",12884518,39142991.00
2021,United States,Colorado,Phishing,633,1186830,5811297.00
2021,United States,Connecticut,Phishing,218,510800,3623355.00
2021,United States,Delaware,Phishing,65,26636,1004807.00
2021,United States,Florida,Phishing,1483,5598867,21828069.00
2021,United States,Georgia,Phishing,711,1102633,10788029.00
2021,United States,Hawaii,Phishing,68,6343,1447154.00
2021,United States,Idaho,Phishing,90,14006,1904314.00
2021,United States,Illinois,Phishing,839,822094,12686469.00
2021,United States,Indiana,Phishing,329,169345,6813532.00
2021,United States,Iowa,Phishing,113,148993,3197689.00
2021,United States,Kansas,Phishing,118,73949,2937922.00
2021,United States,Kentucky,Phishing,159,177659,4506589.00
2021,United States,Louisiana,Phishing,160,118078,4627098.00
2021,United States,Maine,Phishing,88,22225,1377238.00
2021,United States,Maryland,Phishing,425,760100,6174610.00
2021,United States,Massachusetts,Phishing,395,816558,6989690.00
2021,United States,Michigan,Phishing,507,384842,10037504.00
2021,United States,Minnesota,Phishing,310,244502,5711471.00
2021,United States,Mississippi,Phishing,87,213410,2949586.00
2021,United States,Missouri,Phishing,297,368601,6169823.00
2021,United States,Montana,Phishing,46,176785,1106227.00
2021,United States,Nebraska,Phishing,77,8186,1963554.00
2021,United States,Nevada,Phishing,320,398035,3146402.00
2021,United States,New Hampshire,Phishing,83,31094,1387505.00
2021,United States,New Jersey,Phishing,666,730739,9267961.00
2021,United States,New Mexico,Phishing,141,324201,2116677.00
2021,United States,New York,Phishing,1566,3566851,19857492.00
2021,United States,North Carolina,Phishing,493,273714,10565885.00
2021,United States,North Dakota,Phishing,29,9513,777934.00
2021,United States,Ohio,Phishing,577,558160,11764342.00
2021,United States,Oklahoma,Phishing,191,337441,3991225.00
2021,United States,Oregon,Phishing,294,179491,4256301.00
2021,United States,Pennsylvania,Phishing,871,593237,13012059.00
2021,United States,Rhode Island,Phishing,49,1496,1096985.00
2021,United States,South Carolina,Phishing,270,403047,5193266.00
